ident;type;iata_code
03N;small_airport;UTK
07FA;small_airport;OCA
0AK;small_airport;PQS
0CO2;small_airport;CSE
0TE7;small_airport;JCY
13MA;small_airport;PMX
13Z;seaplane_base;WLR
16A;small_airport;NUP
16K;seaplane_base;PTC
19AK;small_airport;ICY
19P;seaplane_base;PPV
1KC;small_airport;KKK
1O6;small_airport;MHS
1XA2;small_airport;NIR
1Z1;small_airport;GCT
1Z9;seaplane_base;ELW
2AK;small_airport;LVD
2AK6;small_airport;HGZ
2IG4;small_airport;OTN
2K5;small_airport;TLF
2TE0;small_airport;BZT
2Z1;seaplane_base;HBH
2Z6;seaplane_base;FAK
38WA;small_airport;BYW
3AK5;small_airport;DRF
3IS8;small_airport;BDF
3VS;small_airport;VRS
3Z8;seaplane_base;GDH
4A2;small_airport;ATT
4AK;small_airport;LIV
4K0;small_airport;PDB
4K5;small_airport;KOZ
4KA;small_airport;TNK
4TE8;closed;EVA
4Z7;seaplane_base;WHD
57A;seaplane_base;TKI
5A8;medium_airport;WKK
5KE;seaplane_base;WFB
5NK;small_airport;NNK
5Z9;seaplane_base;BKF
65LA;small_airport;BCS
6CA3;heliport;SPQ
6N5;heliport;TSS
6N7;seaplane_base;QNY
6OK6;small_airport;BWL
78K;seaplane_base;WYB
78WA;small_airport;CWS
7KA;small_airport;TEK
7NC2;small_airport;DUF
7WA5;small_airport;SSW
82CL;small_airport;FOB
83Q;seaplane_base;PUL
84CL;heliport;CCD
84K;seaplane_base;WMK
89NY;small_airport;AXB
8XS8;small_airport;REE
90WA;small_airport;WDN
96Z;seaplane_base;WWP
9A3;small_airport;CHU
9A8;small_airport;UGS
9B1;small_airport;MXG
9N2;seaplane_base;PSQ
9Z8;small_airport;KLL
A23;seaplane_base;SGW
A61;small_airport;WTL
A63;small_airport;TWA
A79;small_airport;KCQ
AAD;small_airport;AAD
ABP;small_airport;ABP
ABW;closed;ABW
AD-ALV;heliport;ALV
ADC;small_airport;ADC
ADV;small_airport;ADV
AE-0006;seaplane_base;DJH
AEE;small_airport;AEE
AEI;heliport;AEI
AEK;small_airport;AEK
AEQ;small_airport;AEQ
AF10;small_airport;URZ
AF11;small_airport;OLR
AFK;seaplane_base;AFK
AFR;small_airport;AFR
AGAF;small_airport;AFT
AGAR;small_airport;RNA
AGAT;small_airport;ATD
AGBA;small_airport;VEV
AGEV;small_airport;GEF
AGG;small_airport;AGG
AGGA;small_airport;AKS
AGGB;small_airport;BNY
AGGC;small_airport;CHY
AGGE;small_airport;BAS
AGGF;small_airport;FRE
AGGH;medium_airport;HIR
AGGI;small_airport;MBU
AGGJ;small_airport;AVU
AGGK;small_airport;IRA
AGGL;small_airport;SCZ
AGGM;medium_airport;MUA
AGGN;small_airport;GZO
AGGO;small_airport;MNY
AGGP;small_airport;PRS
AGGQ;closed;OTV
AGGR;small_airport;RNL
AGGS;small_airport;EGM
AGGT;small_airport;NNB
AGGU;small_airport;RUS
AGGV;small_airport;VAO
AGGY;small_airport;XYA
AGK;small_airport;AGK
AGKG;small_airport;KGE
AGKU;small_airport;KUE
AGKW;small_airport;KWS
AGL;small_airport;AGL
AGNA;small_airport;NAZ
AGRC;small_airport;RIN
AGRM;small_airport;RBV
AGTI;heliport;TLG
AGY;small_airport;AGY
AHJ;medium_airport;AHJ
AHT;closed;AHT
AHY;small_airport;AHY
AIE;small_airport;AIE
AIH;small_airport;AIH
AIP;small_airport;AIC
AK13;small_airport;CEX
AK26;small_airport;SOL
AK33;small_airport;HED
AK49;small_airport;TWE
AK56;seaplane_base;KTH
AK62;seaplane_base;NKI
AK71;small_airport;LNI
AK75;small_airport;CDL
AK81;seaplane_base;AOS
AK96;small_airport;BSZ
AK97;small_airport;BSW
AKM;small_airport;AKM
AL73;small_airport;TGE
ALZ;seaplane_base;ALZ
AMC;small_airport;PPE
AME;small_airport;AME
AMF;small_airport;AMF
AMU;small_airport;AMU
AMY;small_airport;AMY
ANH;closed;ANH
ANYN;medium_airport;INU
ANZ;small_airport;ANZ
AO-0005;small_airport;ANL
AO-CNZ;small_airport;CNZ
AO-DRC;small_airport;DRC
AO-GGC;small_airport;GGC
AO-JMB;small_airport;JMB
AO-KNP;small_airport;KNP
AO-NDF;small_airport;NDF
AOA;closed;AOA
AOB;small_airport;AOB
AOD;small_airport;AOD
APP;small_airport;APP
APR;small_airport;APR
AQY;small_airport;AQY
AR-0005;small_airport;QRF
AR-0007;small_airport;CVI
AR-0009;small_airport;CNT
AR-0010;small_airport;VGS
AR-0011;small_airport;LMD
AR-0015;closed;SZQ
AR-0017;small_airport;VCF
AR-0346;small_airport;NCJ
AR-0390;small_airport;CPG
AR-0462;small_airport;PRQ
AR-0494;small_airport;OLN
ARP;small_airport;ARP
ARX;closed;ARX
AS-TAV;small_airport;TAV
ASZ;small_airport;ASZ
ATN;small_airport;ATN
ATP;small_airport;ATP
AU-0081;small_airport;LYT
AU-AGW;small_airport;AGW
AU-AYD;small_airport;AYD
AU-BYX;small_airport;BYX
AU-COB;small_airport;COB
AU-CRJ;small_airport;CRJ
AU-CRY;small_airport;CRY
AU-CSD;small_airport;CSD
AU-DYM;small_airport;DYM
AU-HIS;seaplane_base;HIS
AU-HLV;small_airport;HLV
AU-KBD;small_airport;KBD
AU-KGR;small_airport;KGR
AU-MWY;small_airport;MWY
AU-MYO;small_airport;MYO
AU-OKB;small_airport;OKB
AU-PEP;small_airport;PEP
AU-RDA;small_airport;RDA
AU-SSK;small_airport;SSK
AU-SWB;small_airport;SWB
AU-TPR;small_airport;TPR
AU-TWP;small_airport;TWP
AU-ZVG;small_airport;ZVG
AUI;small_airport;AUI
AUJ;small_airport;AUJ
AUP;small_airport;AUP
AUS;closed;AUS
AUV;small_airport;AUV
AWE;small_airport;AWE
AWR;closed;AWR
AXF;medium_airport;AXF
AYAQ;small_airport;KPM
AYBK;medium_airport;BUA
AYBR;small_airport;BRP
AYCH;medium_airport;CMU
AYDK;small_airport;MDM
AYDL;small_airport;KPF
AYDN;small_airport;DNU
AYDO;small_airport;DOI
AYDU;medium_airport;DAU
AYEB;small_airport;EMS
AYED;small_airport;XYR
AYEL;small_airport;EPT
AYEN;small_airport;EGA
AYEO;small_airport;EMO
AYER;small_airport;ERU
AYES;small_airport;MFZ
AYFE;small_airport;FRQ
AYFR;small_airport;FAQ
AYFU;small_airport;FUM
AYGA;medium_airport;GKA
AYGF;small_airport;GUG
AYGG;small_airport;GRL
AYGN;medium_airport;GUR
AYGP;small_airport;GAP
AYGR;medium_airport;PNP
AYGS;small_airport;GBC
AYHB;small_airport;HBD
AYHE;small_airport;HNI
AYHH;small_airport;HNN
AYHK;medium_airport;HKN
AYHO;small_airport;HIT
AYII;small_airport;IMN
AYIM;small_airport;KGM
AYIO;small_airport;IMD
AYIU;small_airport;IAL
AYIX;small_airport;WIU
AYJO;small_airport;KGH
AYKA;small_airport;LSA
AYKG;small_airport;KPA
AYKI;small_airport;UNG
AYKJ;small_airport;KNE
AYKK;small_airport;KRI
AYKM;medium_airport;KMA
AYKR;small_airport;KRX
AYKT;small_airport;KIE
AYKU;small_airport;KUQ
AYKV;medium_airport;KVG
AYKY;small_airport;LNV
AYLB;small_airport;LAB
AYLO;small_airport;LWI
AYLP;small_airport;LPN
AYLS;small_airport;LNG
AYLX;small_airport;LSJ
AYM;seaplane_base;AYM
AYMA;small_airport;MRM
AYMB;small_airport;OBM
AYMD;medium_airport;MAG
AYMH;medium_airport;HGU
AYML;small_airport;GUV
AYMN;medium_airport;MDU
AYMO;medium_airport;MAS
AYMR;small_airport;MXH
AYMS;small_airport;MIS
AYMW;small_airport;MWG
AYNA;small_airport;NKN
AYNE;small_airport;GBF
AYNG;small_airport;MFO
AYNM;small_airport;KSB
AYNO;small_airport;NMN
AYNY;small_airport;NBA
AYNZ;medium_airport;LAE
AYOE;small_airport;KGB
AYOJ;small_airport;OKP
AYOK;small_airport;HOC
AYOQ;small_airport;KCJ
AYOW;small_airport;KDE
AYOY;small_airport;OPB
AYPC;small_airport;PGB
AYPG;small_airport;PGN
AYPO;small_airport;MPF
AYPQ;small_airport;PMN
AYPY;large_airport;POM
AYQO;small_airport;SPH
AYQS;small_airport;SXA
AYRG;small_airport;RMN
AYRI;small_airport;KMR
AYRM;small_airport;MWI
AYRV;small_airport;MRH
AYSA;small_airport;SBE
AYSE;small_airport;NIS
AYSG;small_airport;SIL
AYSH;small_airport;SBV
AYSJ;small_airport;SIM
AYSO;small_airport;SBC
AYSQ;small_airport;SPV
AYSV;small_airport;SXW
AYSX;small_airport;MBV
AYTA;small_airport;TIZ
AYTB;small_airport;TBG
AYTI;small_airport;TPI
AYTK;medium_airport;RAB
AYTN;small_airport;TKW
AYTP;small_airport;TEP
AYTS;small_airport;TSW
AYTT;small_airport;TRJ
AYTW;small_airport;TWY
AYTZ;small_airport;TKB
AYU;small_airport;AYU
AYUC;small_airport;UMC
AYUE;small_airport;URU
AYUR;small_airport;UPR
AYUZ;small_airport;UVO
AYVL;small_airport;TLW
AYVM;small_airport;TCJ
AYVN;medium_airport;VAI
AYVO;small_airport;TON
AYWB;small_airport;WAO
AYWD;medium_airport;WBM
AYWF;small_airport;WAJ
AYWK;medium_airport;WWK
AYWO;small_airport;WOA
AYWQ;small_airport;WKN
AYWS;small_airport;WSU
AYWT;small_airport;WTP
AYWU;small_airport;WUG
AYXE;small_airport;YVD
AYXI;small_airport;SMJ
AYXW;small_airport;WEP
AYY;seaplane_base;AYY
AYYE;small_airport;KYX
AYYR;small_airport;KSX
AYZ;closed;AYZ
AYZM;small_airport;WUM
AZ-0001;medium_airport;ZXT
AZ15;heliport;HAE
AZB;small_airport;AZB
BAJ;small_airport;BAJ
BAP;closed;BAP
BBG;small_airport;BKG
BCJ;closed;BCJ
BCP;small_airport;BCP
BCW;medium_airport;BCW
BCZ;small_airport;BCZ
BDH;small_airport;ILL
BDZ;small_airport;BDZ
BEA;closed;BEA
BER;closed;BER
BG-HKV;small_airport;HKV
BG-JAM;medium_airport;JAM
BGAA;medium_airport;JEG
BGAP;heliport;LLU
BGAT;heliport;QGQ
BGBW;medium_airport;UAK
BGCH;heliport;JCH
BGCO;small_airport;CNP
BGDU;closed;DUN
BGET;heliport;QFG
BGGH;medium_airport;GOH
BGGN;heliport;JGO
BGIG;heliport;QFI
BGIK;heliport;QRY
BGIL;heliport;XIQ
BGIT;heliport;QJI
BGJH;heliport;JJU
BGJN;small_airport;JAV
BGKA;heliport;QPW
BGKK;small_airport;KUS
BGKT;heliport;QJE
BGMQ;small_airport;JSU
BGNN;heliport;JNN
BGNS;heliport;JNS
BGP;small_airport;BGP
BGPT;small_airport;JFR
BGQE;heliport;QQT
BGQQ;small_airport;NAQ
BGSC;heliport;OBY
BGSF;medium_airport;SFJ
BGSO;heliport;QOQ
BGSS;small_airport;JHS
BGTL;medium_airport;THU
BGUK;small_airport;JUV
BGUM;heliport;UMD
BGUQ;small_airport;JQA
BHL;small_airport;BHL
BHT;small_airport;BHT
BIAR;medium_airport;AEY
BIBD;small_airport;BIU
BIBF;small_airport;BGJ
BIBK;small_airport;BJD
BIBL;small_airport;BLO
BIBR;small_airport;BQD
BIBV;small_airport;BXV
BIDV;small_airport;DJU
BIEG;medium_airport;EGS
BIFF;small_airport;FAS
BIFM;small_airport;FAG
BIGF;small_airport;GUU
BIGJ;small_airport;GJR
BIGR;small_airport;GRY
BIHK;small_airport;HVK
BIHN;medium_airport;HFN
BIHT;small_airport;FLI
BIHU;medium_airport;HZK
BIHV;small_airport;HVM
BIID;small_airport;HLO
BIIS;medium_airport;IFJ
BIJ;closed;BIJ
BIKF;large_airport;KEF
BIKP;small_airport;OPA
BIKR;small_airport;SAK
BINF;small_airport;NOR
BIOF;small_airport;OFJ
BIPA;small_airport;PFJ
BIRE;small_airport;RHA
BIRF;small_airport;OLI
BIRG;small_airport;RFN
BIRK;medium_airport;RKV
BIRL;small_airport;MVA
BISI;medium_airport;SIJ
BIST;small_airport;SYK
BITE;small_airport;TEY
BITN;small_airport;THO
BIVM;medium_airport;VEY
BIVO;small_airport;VPN
BIZ;closed;BIZ
BJE;small_airport;BJE
BJQ;small_airport;BJQ
BJT;seaplane_base;BJT
BKPR;large_airport;PRN
BMH;small_airport;BMH
BMQ;small_airport;BMQ
BMZ;small_airport;BMZ
BNF;seaplane_base;BNF
BNM;small_airport;BNM
BNQ;closed;BNQ
BNT;small_airport;BNT
BNV;closed;BNV
BNZ;closed;BNZ
BO-0001;small_airport;RBQ
BO-BVL;small_airport;BVL
BOF;heliport;BOF
BOK;small_airport;BOK
BOQ;closed;BOQ
BOT;small_airport;BOT
BOV;small_airport;BOV
BPF;small_airport;BPF
BQV;seaplane_base;BQV
BR-0015;closed;TUZ
BR-ALT;small_airport;ALT
BR-SWM;closed;SWM
BRG;closed;BRG
BS-NSB;seaplane_base;NSB
BSP;small_airport;BSP
BSV;small_airport;BSV
BUL;small_airport;BUL
BVP;closed;BVP
BVR;small_airport;BVR
BW-HUK;small_airport;HUK
BWJ;small_airport;BWJ
BWP;small_airport;BWP
BXL;seaplane_base;BXL
BXZ;small_airport;BXZ
BYA;small_airport;BYA
BYL;small_airport;BYL
BYV;seaplane_base;BYV
BZ-BCV;small_airport;BCV
BZ-BGK;medium_airport;BGK
BZ-CUK;medium_airport;CUK
BZ-CYC;medium_airport;CYC
BZ-CZH;medium_airport;CZH
BZ-DGA;medium_airport;DGA
BZ-INB;small_airport;INB
BZ-MDB;small_airport;MDB
BZ-ORZ;small_airport;ORZ
BZ-PLJ;medium_airport;PLJ
BZ-PND;medium_airport;PND
BZ-SJX;medium_airport;SJX
BZ-SPR;medium_airport;SPR
BZ-SQS;small_airport;SQS
BZ-STU;small_airport;STU
BZ-SVK;small_airport;SVK
BZ-TZA;medium_airport;TZA
BZB;medium_airport;BZB
BZM;small_airport;BZM
BZS;closed;BZS
CA-0053;closed;YYS
CA-0095;closed;YLM
CA-0112;closed;YGY
CA-0201;closed;YUJ
CA-0213;closed;YWO
CA-0241;closed;YAD
CA-0245;closed;YMD
CA-0274;closed;YDE
CA-0313;closed;YYI
CA-0322;closed;YSV
CA-0378;closed;YTJ
CA-0412;closed;YWN
CA-0446;small_airport;YRR
CA-0504;small_airport;YMV
CAB3;seaplane_base;YBW
CAB4;seaplane_base;YTP
CAB5;closed;YBM
CAC3;closed;ZAA
CAC8;seaplane_base;ZNA
CAD4;small_airport;YZZ
CAD5;small_airport;YMB
CAE3;seaplane_base;YHH
CAE5;seaplane_base;YWS
CAE9;seaplane_base;YBF
CAF6;seaplane_base;YIG
CAG3;small_airport;CJH
CAG8;seaplane_base;YPT
CAH2;seaplane_base;ZOF
CAH3;small_airport;YCA
CAJ3;small_airport;CFQ
CAJ4;small_airport;YAA
CAL3;small_airport;DGF
CAL4;small_airport;JHL
CAL9;seaplane_base;ZTS
CAM3;small_airport;DUQ
CAN8;closed;YPI
CAP3;small_airport;YHS
CAP7;seaplane_base;YKK
CAQ8;seaplane_base;WPL
CAT4;small_airport;XQU
CAT5;small_airport;YMP
CAU8;seaplane_base;YRN
CAV5;seaplane_base;YTG
CAV7;seaplane_base;YMU
CAW7;closed;YAV
CAW8;seaplane_base;YSX
CAX6;seaplane_base;YGG
CAY4;seaplane_base;YTB
CAZ5;small_airport;YZA
CBBC;small_airport;ZEL
CBC;small_airport;CBC
CBM5;closed;YTX
CBS8;small_airport;YPB
CBW4;small_airport;YBO
CBX5;small_airport;TNS
CBX7;small_airport;TUX
CCA6;small_airport;YWM
CCD4;small_airport;YSO
CCE4;small_airport;YBI
CCK4;small_airport;YFX
CCP4;small_airport;YHA
CCZ2;small_airport;YRG
CDK2;small_airport;DVK
CDL7;small_airport;JOJ
CEB5;small_airport;ZFW
CEC4;small_airport;YJP
CEM3;small_airport;YLE
CEQ5;small_airport;YGC
CER3;small_airport;YDC
CER4;small_airport;NML
CET2;small_airport;CFM
CEW3;small_airport;ZSP
CFA7;small_airport;GSL
CFC4;small_airport;XMP
CFF4;small_airport;DAS
CFG6;small_airport;YFI
CFJ2;small_airport;YFJ
CFM4;small_airport;YOE
CFQ4;small_airport;TIL
CG-OKG;small_airport;OKG
CGA;seaplane_base;CGA
CGC;small_airport;CGC
CGG;small_airport;CGG
CGT;small_airport;CGT
CHP;small_airport;CHP
CIV;seaplane_base;CIV
CJC8;small_airport;LRQ
CJL2;small_airport;YDJ
CJL8;small_airport;YDU
CJN8;seaplane_base;YFL
CJS3;small_airport;XCL
CJT3;small_airport;YKE
CJV7;small_airport;SUR
CJX;small_airport;CKD
CJY3;small_airport;YTT
CKB6;small_airport;YAX
CKL3;small_airport;WNN
CKM8;small_airport;YBS
CKQ3;small_airport;YNO
CKR;small_airport;CKR
CKU;small_airport;CKU
CKV4;small_airport;YDW
CKX;small_airport;CKX
CLC;closed;CLC
CLG;closed;CLG
CMT;small_airport;CMT
CMZ;small_airport;CMZ
CN-0005;small_airport;TVS
CN-0010;medium_airport;INC
CN-0012;medium_airport;YUA
CN-0024;medium_airport;ZQZ
CN-0027;medium_airport;BSD
CN-0034;small_airport;DZU
CN-0040;medium_airport;LNJ
CN-0046;medium_airport;RKZ
CN-0050;medium_airport;PZI
CN-0051;small_airport;ZKL
CN-0061;medium_airport;FUO
CN-0062;small_airport;BZX
CN-0068;medium_airport;HUZ
CN-0079;medium_airport;HSC
CN-0081;medium_airport;JGS
CN-0082;medium_airport;AEB
CN-0091;medium_airport;DOY
CN-0104;medium_airport;XEN
CN-0113;medium_airport;AAT
CN-0130;medium_airport;THQ
CN-0143;medium_airport;YZY
CN-0189;medium_airport;DDG
CN-NTG;small_airport;NTG
CNE3;small_airport;XBE
CNH2;small_airport;YNP
CNJ8;seaplane_base;YWR
CNK4;small_airport;YPD
CNL3;small_airport;XBR
CNM5;small_airport;KIF
CNT3;small_airport;YOG
CO-0039;heliport;PRM
CO-ARQ;small_airport;ARQ
CO-LCR;small_airport;LCR
CO-SNT;small_airport;SNT
CO-TCD;small_airport;TCD
CPF2;small_airport;YEB
CPI;small_airport;CPI
CPS9;seaplane_base;YSI
CPV7;small_airport;YHP
CPV8;small_airport;KEW
CSB2;small_airport;YSA
CSH4;small_airport;YLS
CSK6;small_airport;YNX
CSR8;small_airport;SSQ
CSU2;small_airport;YKU
CT88;heliport;EHT
CTB6;small_airport;ZTB
CTK6;small_airport;ZKG
CTM3;seaplane_base;YWQ
CTP9;small_airport;YAU
CTR7;seaplane_base;TR7
CTT5;small_airport;ZGS
CTU2;small_airport;YFG
CTU4;closed;YGA
CTU5;small_airport;ZLT
CU-0003;small_airport;PST
CUJ;small_airport;CUJ
CVH;small_airport;HLI
CVL;small_airport;CVL
CVR;closed;CVR
CXC;small_airport;CXC
CY-0002;medium_airport;GEC
CY-NIC;closed;NIC
CYAB;small_airport;YAB
CYAC;medium_airport;YAC
CYAD;small_airport;YAR
CYAG;medium_airport;YAG
CYAH;medium_airport;YAH
CYAL;medium_airport;YAL
CYAM;medium_airport;YAM
CYAQ;medium_airport;XKS
CYAS;medium_airport;YKG
CYAT;medium_airport;YAT
CYAY;medium_airport;YAY
CYAZ;medium_airport;YAZ
CYBA;small_airport;YBA
CYBB;medium_airport;YBB
CYBC;medium_airport;YBC
CYBD;medium_airport;QBC
CYBE;medium_airport;YBE
CYBF;medium_airport;YBY
CYBG;medium_airport;YBG
CYBK;medium_airport;YBK
CYBL;medium_airport;YBL
CYBQ;medium_airport;XTL
CYBR;medium_airport;YBR
CYBT;medium_airport;YBT
CYBV;medium_airport;YBV
CYBX;medium_airport;YBX
CYCA;medium_airport;YRF
CYCB;medium_airport;YCB
CYCC;medium_airport;YCC
CYCD;medium_airport;YCD
CYCE;medium_airport;YCE
CYCG;medium_airport;YCG
CYCH;medium_airport;YCH
CYCK;small_airport;XCM
CYCL;medium_airport;YCL
CYCN;medium_airport;YCN
CYCO;medium_airport;YCO
CYCQ;medium_airport;YCQ
CYCR;medium_airport;YCR
CYCS;medium_airport;YCS
CYCT;small_airport;YCT
CYCV;closed;YCV
CYCW;small_airport;YCW
CYCY;medium_airport;YCY
CYCZ;small_airport;YCZ
CYDA;medium_airport;YDA
CYDB;medium_airport;YDB
CYDF;medium_airport;YDF
CYDL;small_airport;YDL
CYDM;medium_airport;XRR
CYDN;medium_airport;YDN
CYDO;medium_airport;YDO
CYDP;medium_airport;YDP
CYDQ;medium_airport;YDQ
CYEG;large_airport;YEG
CYEK;medium_airport;YEK
CYEL;medium_airport;YEL
CYEM;medium_airport;YEM
CYEN;medium_airport;YEN
CYER;medium_airport;YER
CYET;medium_airport;YET
CYEU;small_airport;YEU
CYEV;medium_airport;YEV
CYEY;medium_airport;YEY
CYFA;medium_airport;YFA
CYFB;medium_airport;YFB
CYFC;medium_airport;YFC
CYFE;medium_airport;YFE
CYFH;medium_airport;YFH
CYFJ;medium_airport;YTM
CYFO;medium_airport;YFO
CYFR;medium_airport;YFR
CYFS;medium_airport;YFS
CYFT;medium_airport;YMN
CYGB;medium_airport;YGB
CYGH;medium_airport;YGH
CYGK;medium_airport;YGK
CYGL;medium_airport;YGL
CYGM;medium_airport;YGM
CYGO;medium_airport;YGO
CYGP;medium_airport;YGP
CYGQ;medium_airport;YGQ
CYGR;medium_airport;YGR
CYGT;medium_airport;YGT
CYGV;medium_airport;YGV
CYGW;medium_airport;YGW
CYGX;medium_airport;YGX
CYGZ;medium_airport;YGZ
CYHA;medium_airport;YQC
CYHB;small_airport;YHB
CYHC;seaplane_base;CXH
CYHD;medium_airport;YHD
CYHE;medium_airport;YHE
CYHF;medium_airport;YHF
CYHH;medium_airport;YNS
CYHI;medium_airport;YHI
CYHK;medium_airport;YHK
CYHM;medium_airport;YHM
CYHN;medium_airport;YHN
CYHO;medium_airport;YHO
CYHR;medium_airport;YHR
CYHT;medium_airport;YHT
CYHU;medium_airport;YHU
CYHY;medium_airport;YHY
CYHZ;large_airport;YHZ
CYIB;medium_airport;YIB
CYID;medium_airport;YDG
CYIF;medium_airport;YIF
CYIK;medium_airport;YIK
CYIO;medium_airport;YIO
CYIV;medium_airport;YIV
CYJA;small_airport;YJA
CYJF;medium_airport;YJF
CYJN;medium_airport;YJN
CYJT;medium_airport;YJT
CYKA;medium_airport;YKA
CYKC;small_airport;YKC
CYKD;medium_airport;LAK
CYKF;medium_airport;YKF
CYKG;medium_airport;YWB
CYKJ;medium_airport;YKJ
CYKL;medium_airport;YKL
CYKM;small_airport;YKD
CYKO;medium_airport;AKV
CYKQ;medium_airport;YKQ
CYKX;medium_airport;YKX
CYKY;medium_airport;YKY
CYKZ;medium_airport;YKZ
CYLA;medium_airport;YPJ
CYLB;small_airport;YLB
CYLC;medium_airport;YLC
CYLD;medium_airport;YLD
CYLH;medium_airport;YLH
CYLJ;medium_airport;YLJ
CYLK;medium_airport;YSG
CYLL;medium_airport;YLL
CYLQ;small_airport;YLQ
CYLR;medium_airport;YLR
CYLS;small_airport;YLK
CYLT;medium_airport;YLT
CYLU;medium_airport;XGR
CYLW;medium_airport;YLW
CYM;seaplane_base;CYM
CYMA;medium_airport;YMA
CYME;medium_airport;YME
CYMG;medium_airport;YMG
CYMH;medium_airport;YMH
CYMJ;medium_airport;YMJ
CYML;medium_airport;YML
CYMM;medium_airport;YMM
CYMO;medium_airport;YMO
CYMT;medium_airport;YMT
CYMU;medium_airport;YUD
CYMW;small_airport;YMW
CYMX;medium_airport;YMX
CYNA;medium_airport;YNA
CYNC;medium_airport;YNC
CYND;medium_airport;YND
CYNE;medium_airport;YNE
CYNH;small_airport;YNH
CYNJ;small_airport;YLY
CYNL;medium_airport;YNL
CYNM;medium_airport;YNM
CYNR;small_airport;HZP
CYOA;medium_airport;YOA
CYOC;medium_airport;YOC
CYOD;medium_airport;YOD
CYOH;medium_airport;YOH
CYOJ;medium_airport;YOJ
CYOO;medium_airport;YOO
CYOP;medium_airport;YOP
CYOS;medium_airport;YOS
CYOW;large_airport;YOW
CYOY;heliport;YOY
CYPA;medium_airport;YPA
CYPC;medium_airport;YPC
CYPD;medium_airport;YPS
CYPE;medium_airport;YPE
CYPG;medium_airport;YPG
CYPH;medium_airport;YPH
CYPL;medium_airport;YPL
CYPM;medium_airport;YPM
CYPN;medium_airport;YPN
CYPO;medium_airport;YPO
CYPQ;medium_airport;YPQ
CYPR;medium_airport;YPR
CYPW;medium_airport;YPW
CYPX;medium_airport;YPX
CYPY;medium_airport;YPY
CYPZ;small_airport;YPZ
CYQA;medium_airport;YQA
CYQB;medium_airport;YQB
CYQD;medium_airport;YQD
CYQF;medium_airport;YQF
CYQG;medium_airport;YQG
CYQH;medium_airport;YQH
CYQI;medium_airport;YQI
CYQK;medium_airport;YQK
CYQL;medium_airport;YQL
CYQM;medium_airport;YQM
CYQN;medium_airport;YQN
CYQQ;medium_airport;YQQ
CYQR;medium_airport;YQR
CYQS;medium_airport;YQS
CYQT;medium_airport;YQT
CYQU;medium_airport;YQU
CYQV;medium_airport;YQV
CYQW;medium_airport;YQW
CYQX;medium_airport;YQX
CYQY;medium_airport;YQY
CYQZ;medium_airport;YQZ
CYRA;medium_airport;YRA
CYRB;medium_airport;YRB
CYRI;medium_airport;YRI
CYRJ;medium_airport;YRJ
CYRL;medium_airport;YRL
CYRM;small_airport;YRM
CYRO;medium_airport;YRO
CYRQ;medium_airport;YRQ
CYRS;medium_airport;YRS
CYRT;medium_airport;YRT
CYRV;medium_airport;YRV
CYSB;medium_airport;YSB
CYSC;medium_airport;YSC
CYSD;heliport;YSD
CYSE;small_airport;YSE
CYSF;medium_airport;YSF
CYSH;medium_airport;YSH
CYSJ;medium_airport;YSJ
CYSK;medium_airport;YSK
CYSL;medium_airport;YSL
CYSM;medium_airport;YSM
CYSN;medium_airport;YCM
CYSP;medium_airport;YSP
CYST;medium_airport;YST
CYSU;medium_airport;YSU
CYSY;medium_airport;YSY
CYTA;medium_airport;YTA
CYTE;medium_airport;YTE
CYTF;medium_airport;YTF
CYTH;medium_airport;YTH
CYTL;medium_airport;YTL
CYTQ;medium_airport;YTQ
CYTR;medium_airport;YTR
CYTS;medium_airport;YTS
CYTZ;medium_airport;YTZ
CYUB;medium_airport;YUB
CYUL;large_airport;YUL
CYUT;medium_airport;YUT
CYUX;medium_airport;YUX
CYUY;medium_airport;YUY
CYVB;medium_airport;YVB
CYVC;medium_airport;YVC
CYVG;small_airport;YVG
CYVK;medium_airport;YVE
CYVL;small_airport;YCK
CYVM;medium_airport;YVM
CYVO;medium_airport;YVO
CYVP;medium_airport;YVP
CYVQ;medium_airport;YVQ
CYVR;large_airport;YVR
CYVT;small_airport;YVT
CYVV;medium_airport;YVV
CYVZ;medium_airport;YVZ
CYWA;medium_airport;YWA
CYWG;large_airport;YWG
CYWH;seaplane_base;YWH
CYWJ;medium_airport;YWJ
CYWK;medium_airport;YWK
CYWL;medium_airport;YWL
CYWP;medium_airport;YWP
CYWY;medium_airport;YWY
CYXC;medium_airport;YXC
CYXD;closed;YXD
CYXE;medium_airport;YXE
CYXH;medium_airport;YXH
CYXI;closed;YXI
CYXJ;medium_airport;YXJ
CYXK;medium_airport;YXK
CYXL;medium_airport;YXL
CYXN;medium_airport;YXN
CYXP;medium_airport;YXP
CYXQ;medium_airport;YXQ
CYXR;medium_airport;YXR
CYXS;medium_airport;YXS
CYXT;medium_airport;YXT
CYXU;medium_airport;YXU
CYXX;medium_airport;YXX
CYXY;medium_airport;YXY
CYXZ;medium_airport;YXZ
CYYB;medium_airport;YYB
CYYC;large_airport;YYC
CYYD;medium_airport;YYD
CYYE;medium_airport;YYE
CYYF;medium_airport;YYF
CYYG;medium_airport;YYG
CYYH;medium_airport;YYH
CYYJ;large_airport;YYJ
CYYL;medium_airport;YYL
CYYM;small_airport;YYM
CYYN;medium_airport;YYN
CYYQ;medium_airport;YYQ
